origin,destination,price,airlines,stops,duration,search_url
CAI,LAX,"AED 3,160",ITA Airways,1 stop,18h 30m,https://www.kayak.ae/flights/CAI-LAX/2025-04-23/2025-04-30?sort=price_a
CAI,LAX,"AED 3,357",Delta,1 stop,19h 35m,https://www.kayak.ae/flights/CAI-LAX/2025-04-23/2025-04-30?sort=price_a
CAI,LAX,"AED 3,357",Delta,1 stop,19h 35m,https://www.kayak.ae/flights/CAI-LAX/2025-04-23/2025-04-30?sort=price_a
CAI,LAX,"AED 3,587",Air France,1 stop,22h 35m,https://www.kayak.ae/flights/CAI-LAX/2025-04-23/2025-04-30?sort=price_a
CAI,LAX,N/A,N/A,N/A,N/A,https://www.kayak.ae/flights/CAI-LAX/2025-04-23/2025-04-30?sort=price_a
CAI,LAX,N/A,N/A,N/A,N/A,https://www.kayak.ae/flights/CAI-LAX/2025-04-23/2025-04-30?sort=price_a
CAI,MNL,N/A,N/A,N/A,N/A,https://www.kayak.ae/flights/CAI-MNL/2025-04-23/2025-04-30?sort=price_a
CAI,MNL,N/A,N/A,N/A,N/A,https://www.kayak.ae/flights/CAI-MNL/2025-04-23/2025-04-30?sort=price_a
CAI,MNL,N/A,N/A,N/A,N/A,https://www.kayak.ae/flights/CAI-MNL/2025-04-23/2025-04-30?sort=price_a
CAI,MNL,N/A,N/A,N/A,N/A,https://www.kayak.ae/flights/CAI-MNL/2025-04-23/2025-04-30?sort=price_a
CAI,MNL,N/A,N/A,N/A,N/A,https://www.kayak.ae/flights/CAI-MNL/2025-04-23/2025-04-30?sort=price_a
CAI,MNL,N/A,N/A,N/A,N/A,https://www.kayak.ae/flights/CAI-MNL/2025-04-23/2025-04-30?sort=price_a
CAI,SGN,"AED 3,820",China Eastern,1 stop,31h 05m,https://www.kayak.ae/flights/CAI-SGN/2025-04-23/2025-04-30?sort=price_a
CAI,SGN,"AED 4,503",Emirates,1 stop,13h 15m,https://www.kayak.ae/flights/CAI-SGN/2025-04-23/2025-04-30?sort=price_a
CAI,SGN,"AED 4,503",Emirates,1 stop,14h 15m,https://www.kayak.ae/flights/CAI-SGN/2025-04-23/2025-04-30?sort=price_a
CAI,SGN,"AED 4,503",Emirates,1 stop,16h 45m,https://www.kayak.ae/flights/CAI-SGN/2025-04-23/2025-04-30?sort=price_a
CAI,SGN,N/A,N/A,N/A,N/A,https://www.kayak.ae/flights/CAI-SGN/2025-04-23/2025-04-30?sort=price_a
CAI,SGN,N/A,N/A,N/A,N/A,https://www.kayak.ae/flights/CAI-SGN/2025-04-23/2025-04-30?sort=price_a
CAI,SZX,N/A,N/A,N/A,N/A,https://www.kayak.ae/flights/CAI-SZX/2025-04-23/2025-04-30?sort=price_a
CAI,SZX,N/A,N/A,N/A,N/A,https://www.kayak.ae/flights/CAI-SZX/2025-04-23/2025-04-30?sort=price_a
CAI,SZX,N/A,N/A,N/A,N/A,https://www.kayak.ae/flights/CAI-SZX/2025-04-23/2025-04-30?sort=price_a
CAI,SZX,N/A,N/A,N/A,N/A,https://www.kayak.ae/flights/CAI-SZX/2025-04-23/2025-04-30?sort=price_a
CAI,SZX,N/A,N/A,N/A,N/A,https://www.kayak.ae/flights/CAI-SZX/2025-04-23/2025-04-30?sort=price_a
CAI,SZX,N/A,N/A,N/A,N/A,https://www.kayak.ae/flights/CAI-SZX/2025-04-23/2025-04-30?sort=price_a
CAI,TPE,"AED 3,740",China Eastern,1 stop,22h 10m,https://www.kayak.ae/flights/CAI-TPE/2025-04-23/2025-04-30?sort=price_a
CAI,TPE,"AED 3,740",China Eastern,1 stop,22h 10m,https://www.kayak.ae/flights/CAI-TPE/2025-04-23/2025-04-30?sort=price_a
CAI,TPE,"AED 4,040",Emirates,1 stop,15h 05m,https://www.kayak.ae/flights/CAI-TPE/2025-04-23/2025-04-30?sort=price_a
CAI,TPE,"AED 4,040",Emirates,1 stop,17h 35m,https://www.kayak.ae/flights/CAI-TPE/2025-04-23/2025-04-30?sort=price_a
CAI,TPE,N/A,N/A,N/A,N/A,https://www.kayak.ae/flights/CAI-TPE/2025-04-23/2025-04-30?sort=price_a
CAI,TPE,N/A,N/A,N/A,N/A,https://www.kayak.ae/flights/CAI-TPE/2025-04-23/2025-04-30?sort=price_a
CAI,YVR,"AED 3,752",Delta,2 stops,27h 38m,https://www.kayak.ae/flights/CAI-YVR/2025-04-23/2025-04-30?sort=price_a
CAI,YVR,N/A,N/A,N/A,N/A,https://www.kayak.ae/flights/CAI-YVR/2025-04-23/2025-04-30?sort=price_a
